,Unnamed: 0,name,age,market_value,fee,loan,ATT,SKI,MOV,POW,MEN,DEF,GK,league_to_encoded,position_Attacking Midfield,position_Central Midfield,position_Centre-Back,position_Centre-Forward,position_Defensive Midfield,position_Goalkeeper,position_Left Midfield,position_Left Winger,position_Left-Back,position_Right Midfield,position_Right Winger,position_Right-Back,position_Second Striker
93,109,Nathan Collins,21,10.0,24.3,False,49.0,53.0,58.0,63.0,58.0,78.0,9.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
94,111,Calvin Bassey,22,10.0,23.0,False,63.0,61.0,83.0,74.0,64.0,79.0,9.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
95,114,Sofiane Diop,22,20.0,22.0,False,72.0,70.0,76.0,79.0,65.0,39.0,12.0,7,0,0,0,0,0,0,0,1,0,0,0,0,0
96,116,Thilo Kehrer,25,22.0,12.0,False,72.0,70.0,76.0,79.0,65.0,39.0,12.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
97,118,Julian Weigl,26,22.0,0.0,True,57.0,50.0,71.0,74.0,61.0,80.0,11.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
98,119,James Tarkowski,29,22.0,0.0,False,71.0,72.0,70.0,77.0,60.0,24.0,10.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
99,120,Mauro Icardi,29,22.0,0.0,True,48.0,53.0,64.0,67.0,58.0,82.0,10.0,14,0,0,0,1,0,0,0,0,0,0,0,0,0
100,121,Jan Bednarek,26,22.0,0.0,True,64.0,65.0,79.0,68.0,62.0,67.0,11.0,9,0,0,1,0,0,0,0,0,0,0,0,0,0
101,122,Giovani Lo Celso,26,22.0,0.0,True,71.0,66.0,80.0,75.0,64.0,25.0,11.0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
102,124,Maxwel Cornet,25,15.0,20.7,False,51.0,54.0,60.0,61.0,57.0,72.0,9.0,9,0,0,0,0,0,0,0,1,0,0,0,0,0
103,125,Taiwo Awoniyi,24,20.0,20.5,False,49.0,53.0,59.0,67.0,66.0,79.0,9.0,9,0,0,0,1,0,0,0,0,0,0,0,0,0
104,127,Nahuel Molina,24,20.0,20.0,False,71.0,70.0,72.0,70.0,71.0,71.0,10.0,5,0,0,0,0,0,0,0,0,0,0,0,1,0
105,128,Arnaud Kalimuendo,20,18.0,20.0,False,75.0,75.0,64.0,72.0,67.0,34.0,12.0,7,0,0,0,1,0,0,0,0,0,0,0,0,0
106,129,Philippe Coutinho,30,20.0,20.0,False,68.0,70.0,75.0,70.0,58.0,32.0,10.0,9,1,0,0,0,0,0,0,0,0,0,0,0,0
107,130,Umar Sadiq,25,18.0,20.0,False,77.0,74.0,68.0,72.0,74.0,63.0,8.0,5,0,0,0,1,0,0,0,0,0,0,0,0,0
108,131,Neco Williams,21,8.0,20.0,False,51.0,54.0,67.0,57.0,60.0,80.0,11.0,9,0,0,0,0,0,0,0,0,0,0,0,1,0
109,134,David Neres,25,20.0,15.3,False,44.0,47.0,60.0,51.0,43.0,21.0,10.0,6,0,0,0,0,0,0,0,0,0,0,1,0,0
110,136,Adam Hlozek,19,20.0,13.0,False,66.0,74.0,78.0,67.0,63.0,38.0,11.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
111,137,Nordi Mukiele,24,20.0,12.0,False,69.0,68.0,75.0,79.0,71.0,73.0,9.0,7,0,0,0,0,0,0,0,0,0,0,0,1,0
112,138,Remo Freuler,30,20.0,9.0,False,63.0,59.0,73.0,63.0,52.0,22.0,7.0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
113,139,Lucas Torreira,26,20.0,6.0,False,57.0,71.0,75.0,70.0,68.0,72.0,7.0,14,0,0,0,0,1,0,0,0,0,0,0,0,0
