,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
151,Tyler Adams,Defensive Midfield,23,17.0,Germany,Bundesliga,RB Leipzig,England,Premier League,Leeds United,17.0,False
152,Wout Faes,Centre-Back,24,10.0,France,Ligue 1,Stade Reims,England,Premier League,Leicester City,17.0,False
153,Roman Yaremchuk,Centre-Forward,26,15.0,Portugal,Liga Portugal,SL Benfica,Belgium,Jupiler Pro League,Club Brugge KV,17.0,False
154,Tyrell Malacia,Left-Back,22,17.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Manchester United,15.0,False
155,Marcos Senesi,Centre-Back,25,17.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,AFC Bournemouth,15.0,False
156,Jordan Veretout,Central Midfield,29,17.0,Italy,Serie A,AS Roma,France,Ligue 1,Olympique Marseille,12.45,False
157,Giovanni Simeone,Centre-Forward,26,17.0,Italy,Serie B,Cagliari Calcio,Italy,Serie A,Hellas Verona,10.5,False
158,Destiny Udogie,Left-Back,19,17.0,Italy,Serie A,Hellas Verona,Italy,Serie A,Udinese Calcio,4.0,False
159,Giovanni Simeone,Centre-Forward,27,17.0,Italy,Serie A,Hellas Verona,Italy,Serie A,SSC Napoli,3.5,True
160,Leandro Paredes,Defensive Midfield,28,17.0,France,Ligue 1,Paris Saint-Germain,Italy,Serie A,Juventus FC,2.5,True
161,Yusuf Yazıcı,Attacking Midfield,25,17.0,France,Ligue 1,LOSC Lille,Türkiye,Süper Lig,Trabzonspor,500k,True
162,Chancel Mbemba,Centre-Back,27,17.0,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Olympique Marseille,0,False
163,Kasper Dolberg,Centre-Forward,24,17.0,France,Ligue 1,OGC Nice,Spain,LaLiga,Sevilla FC,0,True
164,Alessio Romagnoli,Centre-Back,27,17.0,Italy,Serie A,AC Milan,Italy,Serie A,SS Lazio,0,False
165,Destiny Udogie,Left-Back,19,17.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,Udinese Calcio,0,True
166,Hee-chan Hwang,Centre-Forward,26,16.0,Germany,Bundesliga,RB Leipzig,England,Premier League,Wolverhampton Wanderers,16.7,False
167,Mathías Olivera,Left-Back,24,15.0,Spain,LaLiga,Getafe CF,Italy,Serie A,SSC Napoli,16.5,False
168,Brian Brobbey,Centre-Forward,20,9.0,Germany,Bundesliga,RB Leipzig,Netherlands,Eredivisie,Ajax Amsterdam,16.35,False
169,Jota,Left Winger,23,7.5,Portugal,Liga Portugal,SL Benfica,Scotland,Premiership,Celtic FC,16.2,False
170,Tanguy Nianzou,Centre-Back,20,9.0,Germany,Bundesliga,Bayern Munich,Spain,LaLiga,Sevilla FC,16.0,False
171,Jerry St. Juste,Centre-Back,25,16.0,Germany,Bundesliga,1.FSV Mainz 05,Portugal,Liga Portugal,Sporting CP,10.0,False
172,Duje Caleta-Car,Centre-Back,25,16.0,France,Ligue 1,Olympique Marseille,England,Premier League,Southampton FC,8.0,False
173,Arkadiusz Milik,Centre-Forward,28,16.0,Italy,Serie A,SSC Napoli,France,Ligue 1,Olympique Marseille,8.0,False
174,Matteo Pessina,Central Midfield,25,16.0,Italy,Serie A,Atalanta BC,Italy,Serie A,AC Monza,3.2,True
175,Arkadiusz Milik,Centre-Forward,28,16.0,France,Ligue 1,Olympique Marseille,Italy,Serie A,Juventus FC,750k,True
176,Randal Kolo Muani,Centre-Forward,23,16.0,France,Ligue 1,FC Nantes,Germany,Bundesliga,Eintracht Frankfurt,0,False
177,Dele Alli,Attacking Midfield,26,16.0,England,Premier League,Everton FC,Türkiye,Süper Lig,Besiktas JK,0,True
