,name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee,loan
50,Franck Kessié,Central Midfield,25,45.0,Italy,Serie A,AC Milan,Spain,LaLiga,FC Barcelona,0,False
51,Enzo Fernández,Central Midfield,21,15.0,Argentina,Liga Profesional,CA River Plate,Portugal,Liga Portugal,SL Benfica,44.25,False
52,Lucas Paquetá,Attacking Midfield,25,35.0,France,Ligue 1,Olympique Lyon,England,Premier League,West Ham United,42.95,False
53,Amine Gouiri,Left Winger,22,42.0,France,Ligue 1,OGC Nice,France,Ligue 1,Stade Rennais FC,28.0,False
54,Vitinha,Central Midfield,22,30.0,Portugal,Liga Portugal,FC Porto,France,Ligue 1,Paris Saint-Germain,41.5,False
55,Nuno Mendes,Left-Back,20,40.0,Portugal,Liga Portugal,Sporting CP,France,Ligue 1,Paris Saint-Germain,38.0,False
56,Gonçalo Guedes,Left Winger,25,40.0,Spain,LaLiga,Valencia CF,England,Premier League,Wolverhampton Wanderers,32.6,False
57,Diego Carlos,Centre-Back,29,40.0,Spain,LaLiga,Sevilla FC,England,Premier League,Aston Villa,31.0,False
58,Antonio Rüdiger,Centre-Back,29,40.0,England,Premier League,Chelsea FC,Spain,LaLiga,Real Madrid,0,False
59,Kalidou Koulibaly,Centre-Back,31,35.0,Italy,Serie A,SSC Napoli,England,Premier League,Chelsea FC,38.0,False
60,Sven Botman,Centre-Back,22,30.0,France,Ligue 1,LOSC Lille,England,Premier League,Newcastle United,37.0,False
61,Charles De Ketelaere,Attacking Midfield,21,30.0,Belgium,Jupiler Pro League,Club Brugge KV,Italy,Serie A,AC Milan,36.5,False
62,Bremer,Centre-Back,25,35.0,Italy,Serie A,Torino FC,Italy,Serie A,Juventus FC,44.0,False
63,Fábio Vieira,Attacking Midfield,22,25.0,Portugal,Liga Portugal,FC Porto,England,Premier League,Arsenal FC,35.0,False
64,Oleksandr Zinchenko,Left-Back,25,25.0,England,Premier League,Manchester City,England,Premier League,Arsenal FC,35.0,False
65,Amadou Onana,Defensive Midfield,20,10.0,France,Ligue 1,LOSC Lille,England,Premier League,Everton FC,35.0,False
66,Nayef Aguerd,Centre-Back,26,12.0,France,Ligue 1,Stade Rennais FC,England,Premier League,West Ham United,35.0,False
67,Sébastien Haller,Centre-Forward,28,35.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Borussia Dortmund,31.0,False
68,Karim Adeyemi,Left Winger,20,35.0,Austria,Bundesliga,Red Bull Salzburg,Germany,Bundesliga,Borussia Dortmund,30.0,False
69,Yves Bissouma,Central Midfield,25,35.0,England,Premier League,Brighton & Hove Albion,England,Premier League,Tottenham Hotspur,29.2,False
70,Timo Werner,Centre-Forward,26,35.0,England,Premier League,Chelsea FC,Germany,Bundesliga,RB Leipzig,20.0,False
71,Ryan Gravenberch,Central Midfield,20,35.0,Netherlands,Eredivisie,Ajax Amsterdam,Germany,Bundesliga,Bayern Munich,18.5,False
72,Paulo Dybala,Second Striker,28,35.0,Italy,Serie A,Juventus FC,Italy,Serie A,AS Roma,0,False
73,Niklas Süle,Centre-Back,26,35.0,Germany,Bundesliga,Bayern Munich,Germany,Bundesliga,Borussia Dortmund,0,False
74,Andreas Christensen,Centre-Back,26,35.0,England,Premier League,Chelsea FC,Spain,LaLiga,FC Barcelona,0,False
75,Nico Schlotterbeck,Centre-Back,22,33.0,Germany,Bundesliga,SC Freiburg,Germany,Bundesliga,Borussia Dortmund,20.0,False
76,Brenden Aaronson,Attacking Midfield,21,25.0,Austria,Bundesliga,Red Bull Salzburg,England,Premier League,Leeds United,32.84,False
77,Steven Bergwijn,Left Winger,24,18.0,England,Premier League,Tottenham Hotspur,Netherlands,Eredivisie,Ajax Amsterdam,31.25,False
78,Gianluca Scamacca,Centre-Forward,23,30.0,Italy,Serie A,US Sassuolo,England,Premier League,West Ham United,28.5,False
79,Manuel Akanji,Centre-Back,27,30.0,Germany,Bundesliga,Borussia Dortmund,England,Premier League,Manchester City,20.0,False
80,Frank Anguissa,Central Midfield,26,30.0,England,Premier League,Fulham FC,Italy,Serie A,SSC Napoli,16.0,False
81,Renan Lodi,Left-Back,24,30.0,Spain,LaLiga,Atlético de Madrid,England,Premier League,Nottingham Forest,5.0,True
82,Tanguy Ndombélé,Central Midfield,25,30.0,England,Premier League,Tottenham Hotspur,Italy,Serie A,SSC Napoli,500k,True
83,Angeliño,Left-Back,25,30.0,Germany,Bundesliga,RB Leipzig,Germany,Bundesliga,TSG 1899 Hoffenheim,0,True
84,Morgan Gibbs-White,Attacking Midfield,22,11.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Nottingham Forest,29.5,False
85,Robin Gosens,Left Midfield,27,28.0,Italy,Serie A,Atalanta BC,Italy,Serie A,Inter Milan,27.4,False
86,Leander Dendoncker,Defensive Midfield,27,28.0,England,Premier League,Wolverhampton Wanderers,England,Premier League,Aston Villa,15.0,False
87,Renato Sanches,Central Midfield,24,28.0,France,Ligue 1,LOSC Lille,France,Ligue 1,Paris Saint-Germain,15.0,False
88,Giacomo Raspadori,Second Striker,22,28.0,Italy,Serie A,US Sassuolo,Italy,Serie A,SSC Napoli,5.0,True
89,Hugo Ekitiké,Centre-Forward,20,28.0,France,Ligue 1,Stade Reims,France,Ligue 1,Paris Saint-Germain,0,True
90,Joaquín Correa,Second Striker,27,23.0,Italy,Serie A,SS Lazio,Italy,Serie A,Inter Milan,27.3,False
91,Mohamed Camara,Defensive Midfield,22,27.0,Austria,Bundesliga,Red Bull Salzburg,Monaco,Ligue 1,AS Monaco,15.0,False
92,Xaver Schlager,Central Midfield,24,27.0,Germany,Bundesliga,VfL Wolfsburg,Germany,Bundesliga,RB Leipzig,12.0,False
93,Denis Zakaria,Defensive Midfield,25,27.0,Italy,Serie A,Juventus FC,England,Premier League,Chelsea FC,3.0,True
94,David Raum,Left-Back,24,20.0,Germany,Bundesliga,TSG 1899 Hoffenheim,Germany,Bundesliga,RB Leipzig,26.0,False
95,Luis Sinisterra,Left Winger,23,25.0,Netherlands,Eredivisie,Feyenoord Rotterdam,England,Premier League,Leeds United,25.0,False
96,Merih Demiral,Centre-Back,24,25.0,Italy,Serie A,Juventus FC,Italy,Serie A,Atalanta BC,21.0,False
97,João Palhinha,Defensive Midfield,26,25.0,Portugal,Liga Portugal,Sporting CP,England,Premier League,Fulham FC,21.0,False
98,Sasa Kalajdzic,Centre-Forward,25,25.0,Germany,Bundesliga,VfB Stuttgart,England,Premier League,Wolverhampton Wanderers,18.0,False
99,Mattéo Guendouzi,Central Midfield,23,25.0,England,Premier League,Arsenal FC,France,Ligue 1,Olympique Marseille,11.0,False
100,Raúl de Tomás,Centre-Forward,27,25.0,Spain,LaLiga,RCD Espanyol Barcelona,Spain,LaLiga,Rayo Vallecano,11.0,False
101,Pedro Porro,Right-Back,22,25.0,England,Premier League,Manchester City,Portugal,Liga Portugal,Sporting CP,8.77,False
