,name
1229,Jure Balkovec
1230,Pedro Pereira
1231,Javier Salas
1232,Gastón Brugman
1233,Antoine Makoumbou
1234,Ousmane Camara
1235,Pieros Sotiriou
1236,Léo Duarte
1237,Sebastian Polter
1238,Bryan Linssen
1239,Jean-Luc Dompé
1240,Lorenzo Pirola
1241,Samuel Bastien
1242,Kristijan Bistrovic
1243,Paul Seguin
1244,Milos Pantovic
1245,Josep Martínez
1246,Leo Stulac
1247,Landry Dimata
1248,Kjell Scherpen
1249,Josh Laurent
1250,Niels Nkounkou
1251,Koni De Winter
1252,Paulo Victor
1253,Charalampos Lykogiannis
1254,Abdul Rahman Baba
1255,Domingos Quina
1256,Fredrik Gulbrandsen
1257,Kento Hashimoto
1258,Ishak Belfodil
1259,Borja Sainz
1260,Pietro Beruatto
1261,Sofian Kiyine
1262,Jerónimo Cacciabue
1263,Mathys Tel
1264,Mikael
1265,Emil Konradsen Ceide
1266,Gabriel Florentín
1267,Oscar Fraulo
1268,Emre Mor
1269,Delano Burgzorg
1270,Jessic Ngankam
1271,Emrecan Uzunhan
1272,Sammie Szmodics
1273,Michel Vlap
1274,Aurélien Scheidler
1275,Leonardo Buta
1276,Zakaria Aboukhlal
1277,Marcin Bulka
1278,Diego Hernández
1279,Boubacar Traoré
1280,Oleksandr Zubkov
1281,Doron Leidner
1282,Daniel Samek
1283,Lameck Banda
1284,Lewis Ferguson
1285,Carlton Morris
1286,Veton Berisha
1287,Alexsandro
1288,Dominik Kotarski
1289,Amir Richardson
1290,Vlad Chiricheș
1291,Giacomo Quagliata
1292,Willyan Rocha
1293,Emre Demir
1294,Riccardo Ciervo
1295,Ahmed Touba
1296,Roggerio Nyakossi
1297,Douglas Mendes
1298,Tommaso Mancini
1299,Facundo Waller
1300,Iván Marcone
1301,Joao Rojas
1302,Brian Ocampo
1303,Cedric Itten
1304,Rayan Raveloson
1305,Jessic Ngankam
1306,Khaled Narey
1307,Andreas Bruus
1308,Lucas Vera
1309,Moustapha Name
1310,Ohi Omoijuanfo
1311,Andrés Andrade
1312,Oscar Vilhelmsson
1313,Doğucan Haspolat
1314,Krzysztof Kubica
1315,Srdjan Babic
1316,Amer Gojak
1317,Francesco Di Mariano
1318,Pipa
1319,Milan Pavkov
1320,Yanis Hamache
1321,Eduard Löwen
1322,Sergio Santos
1323,Federico Di Francesco
1324,Tommaso Milanese
1325,Renato Steffen
1326,William Mikelbrencis
1327,Hamidou Traoré
1328,Jean Evrard Kouassi
1329,Adam Gnezda Cerin
1330,Kanya Fujimoto
1331,İrfan Can Eğribayat
1332,Nicolò Cambiaghi
1333,Samuel Umtiti
1334,Cenk Özkacar
1335,Silvije Begic
1336,Mailson
1337,Carlitos
1338,Marrony
1339,Anthony Kalik
1340,Paolo Ghiglione
1341,Jacob Shaffelburg
1342,Jorman Campuzano
1343,Flávio
1344,Paul Nardi
1345,Sébastien Thill
1346,Francesco Vicari
1347,Matous Trmal
1348,Mateo Klimowicz
1349,Mile Svilar
1350,Zeki Amdouni
1351,Zuriko Davitashvili
1352,Jan Vertonghen
1353,Philipp Hofmann
1354,Cenk Tosun
1355,Eli Dasa
1356,Fraser Forster
1357,Luan
1358,Mateusz Zukowski
1359,Ole Selnæs
1360,Auston Trusty
1361,Tom Edwards
1362,Salvi Sánchez
1363,Florian Lejeune
1364,Robert Zulj
1365,Lovre Kalinic
1366,Jens Stryger Larsen
1367,Davide Bettella
1368,Álvaro Carreras
1369,Philippe Sandler
1370,Sidnei
1371,Will Smallbone
1372,Tariqe Fosu
1373,Giorgi Chakvetadze
1374,Maximiliano Lovera
1375,Christian Luyindama
1376,Sheyi Ojo
1377,Mahlon Romeo
1378,Andre Gray
1379,Rafael Camacho
1380,Arturo Vidal
1381,Thomas Delaine
1382,Josh Bowler
1383,Jean-Daniel Akpa Akpro
1384,Lucas Mineiro
1385,Gianluca Frabotta
1386,Josh Koroma
1387,Benik Afobe
1388,Jonathan Menéndez
1389,Andrés Roa
1390,Cauley Woodrow
1391,Will Vaulks
1392,Maxime Leverbe
1393,Bruno Amione
1394,Jake Clarke-Salter
1395,Rafa Soares
1396,Papa Ndiaga Yade
1397,Rober González
1398,Youssouf Koné
1399,Charlie Patino
1400,Ian Poveda
1401,Omar Al-Somah
1402,Mubarak Wakaso
1403,Juan Brunetta
1404,Yahia Fofana
1405,Miha Blazic
1406,Ibrahim Amadou
1407,Carlos Clerc
1408,Luca Zidane
1409,Domagoj Pavicic
1410,Xavi Quintillà
1411,Tomás Araújo
1412,Federico Ricca
1413,Abdulkadir Parmak
1414,Filippo Melegoni
1415,Yassine Meriah
1416,Vicente Iborra
1417,Daniel Maldini
1418,Jérémie Bela
1419,Thuler
1420,Maxime Leverbe
1421,Opa Nguette
1422,Jürgen Locadia
1423,Mikael
1424,Steven Caulker
1425,Fernando González
1426,Santiago Ormeño
1427,Darko Velkovski
1428,Roberto Massimo
1429,Santiago Naveda
1430,Samuele Mulattieri
1431,Gianluca Frabotta
1432,Gabriel Noga
1433,Pierre Dwomoh
1434,Thiago Galhardo
1435,Pedro Rocha
1436,João Carlos Teixeira
1437,Rodrigo Riquelme
1438,Paulo Gazzaniga
1439,Roberto López
1440,Ryad Boudebouz
1441,Jhoanner Chávez
1442,Fabio Abreu
1443,Mehdi Abeid
1444,Darío Sarmiento
1445,Wilder Cartagena
1446,Matt Miazga
1447,Luís Oyama
1448,Anthony Knockaert
1449,Lautaro Blanco
1450,Nilson Angulo
1451,Ilias Koutsoupias
1452,Domagoj Vida
1453,Jesús Dueñas
1454,Luke McNally
1455,Mender García
1456,Adalberto Carrasquilla
1457,Shaq Moore
1458,Lovro Zvonarek
1459,Pep Chavarría
1460,Matteo Luigi Brunori
1461,Nicolás Quagliata
1462,Aliou Badji
1463,Guilherme Castilho
1464,Maksim Glushenkov
1465,Bogdan Planic
1466,Nonato
1467,Frantzdy Pierrot
1468,Florian Krüger
1469,Marcos López
1470,Vladislav Sarveli
1471,Yago Pikachu
1472,Rodrigues
1473,Johannes Eggestein
1474,Nikola Soldo
1475,Filippo Ranocchia
1476,Joan Sastre
1477,Bartosz Nowak
1478,Lukasz Poreba
1479,Theocharis Tsingaras
1480,Konstantinos Stafylidis
1481,César Falletti
1482,Linton Maina
1483,Aaron Leya Iseka
1484,Conor Hourihane
1485,Filip Benkovic
1486,Anderson Lucoqui
1487,Jorrit Hendrix
1488,Aymen Barkok
1489,Yoann Barbet
1490,Clément Michelin
1491,Aliou Badji
1492,Max Besuschkow
1493,Louis Schaub
1494,Enzo Crivelli
1495,Jannes Horn
1496,Tayfur Bingöl
1497,Yonatan Cohen
1498,Rodrigo Battaglia
1499,Przemyslaw Placheta
1500,Ciaran Clark
1501,Sergio Escudero
1502,Carlens Arcus
1503,Eduardo
1504,Juraj Kucka
1505,Pape Cheikh
1506,Tommy Smith
1507,Jemal Tabidze
1508,Stefan Bajic
1509,Ibrahim Sissoko
1510,Stefano Gori
1511,Dylan Louiserre
1512,Josh Murphy
1513,Kristoffer Askildsen
1514,Nery Domínguez
1515,Matty Longstaff
1516,Sikou Niakaté
1517,Simon Gustafson
1518,Nathan Tella
1519,Braian Samudio
1520,Juan Cazares
1521,Jorge Miramón
1522,Andrés Mosquera
1523,Awer Mabil
1524,Lazar Markovic
1525,Marko Jevtovic
1526,Bastien Toma
1527,Tobias Figueiredo
1528,Maxime Gonalons
1529,Kévin Rodrigues
1530,Badou Ndiaye
1531,Erik Thommy
1532,Mesut Özil
1533,Olivier Thill
1534,Andrés Felipe Román
1535,Caio Vidal
1536,Arnaud Lusamba
1537,David López
1538,Peglow
1539,Jonathan Silva
1540,Erick Cabaco
1541,Fayçal Fajr
1542,Fatih Kurucuk
1543,Tudor Băluţă
1544,Mathias Ross
1545,Dominic Hyam
1546,Elia Caprile
1547,Alan Rodríguez
1548,Juan Mosquera
1549,Yann Bisseck
1550,David Miculescu
1551,Badr Benoun
1552,Tyler Dibling
1553,Lukas Haraslin
1554,Gelson Dala
1555,Francesco Forte
1556,Stipe Perica
1557,Mario Gargiulo
1558,Jacob Barrett Laursen
1559,Guy Mbenza
1560,Konrad Michalak
1561,Facundo Ferreyra
1562,Nathaniel Méndez-Laing
1563,Rafal Augustyniak
1564,Alessio da Cruz
1565,Lincoln
1566,Mert Çetin
1567,Zan Majer
1568,Patrick Pentz
1569,Raphael Holzhauser
1570,Emre Mor
1571,Mbaye Diagne
1572,José Ortiz
1573,Federico Lértora
1574,Bastos
1575,Mauro Méndez
1576,Mehdi Bourabia
1577,Luka Lochoshvili
1578,Lukas Mai
1579,Osher Davida
1580,Nahuel Estévez
1581,Ahmed Bamasud
1582,Mihajlo Banjac
1583,Ivan Petryak
1584,Serdar Saatçı
1585,Moisés
1586,Stanislav Iljutcenko
1587,Jacopo Segre
1588,Stefan Sapic
1589,Jefté Betancor
1590,Adrian Păun
1591,Mike van der Hoorn
1592,Kevin Stöger
1593,Jacek Goralski
1594,Maximilian Bauer
1595,Billel Omrani
1596,Marco Sala
1597,Ravil Tagir
1598,Bruno Jordão
1599,Daniel Graovac
1600,Paulinho Paula
1601,Ahmed Refaat
1602,Edoardo Masciangelo
1603,Samuel Portugal
1604,Steffen Tigges
1605,Miro Muheim
1606,Hyun-seok Hong
1607,Kings Kangwa
1608,Gabriel Carabajal
1609,Massimo Coda
1610,Maik Nawrocki
1611,Andrea Compagno
1612,Justin Lonwijk
1613,Kingsley Ehizibue
1614,Oliver Zandén
1615,Sigurd Haugen
1616,Kristian Eriksen
1617,Marco Delle Monache
1618,Anthony Valencia
1619,Darlin Yongwa
1620,Montassar Talbi
1621,Léo Baptistão
1622,Ramiro Funes Mori
1623,João Batxi
1624,Víctor Meseguer
1625,Yegor Yarmolyuk
1626,Simon Olsson
1627,Ayase Ueda
1628,Vladyslav Kabaev
1629,Ao Tanaka
1630,Danylo Ignatenko
1631,Ferdy Druijf
1632,Pasquale Mazzocchi
1633,Úmaro Embaló
1634,Komnen Andric
1635,Dominik Kotarski
1636,Gustavo Dulanto
1637,Leon Dajaku
1638,Lukas Sadilek
1639,Alfredo Donnarumma
1640,Alfa Semedo
1641,Näis Djouahra
1642,Nadhir Benbouali
1643,Stephen Odey
1644,Karol Angielski
1645,Koffi Kouao
1646,Bruno Duarte
1647,Alex Timossi Andersson
1648,Thomas Monconduit
1649,Mateo Barac
1650,Gustav Berggren
1651,Victor Cuesta
1652,Betim Fazliji
1653,Christian Makoun
1654,Wesley Gasolina
1655,Luca Itter
1656,Grigoris Kastanos
1657,Jhegson Méndez
1658,Damjan Bohar
1659,Bradley de Nooijer
1660,Mostafa Fathi
1661,Cristian Ferreira
1662,Yayah Kallon
1663,Enis Destan
1664,Armindo Sieb
1665,Frederik Jäkel
1666,Ahmad Benali
1667,Tom Barkhuizen
1668,Faride Alidou
1669,Jean-Kévin Augustin
1670,Rick van Drongelen
1671,Maya Yoshida
1672,Ragnar Ache
1673,Simen Juklerød
1674,Mitchell Weiser
1675,Eran Zahavi
1676,John Souttar
1677,Malik Tillman
1678,Douglas Tanque
1679,Kalifa Coulibaly
1680,Amin Younes
1681,Matija Nastasic
1682,Kevin Strootman
1683,Ivan Santini
1684,Jonas Toró
1685,Alexis Trouillet
1686,Steve Mandanda
1687,Milan Djuric
1688,Youssouf M'Changama
1689,Kays Ruiz-Atil
1690,Benoît Costil
1691,Michael Folorunsho
1692,Steven Sessegnon
1693,Juanjo Narváez
1694,Burak Yılmaz
1695,Joel Robles
1696,Filip Stojkovic
1697,Marin Ljubicic
1698,Vitolo
1699,Aden Flint
1700,Gavin Kilkenny
1701,Dwight Gayle
1702,Liam Delap
1703,Marçal
1704,Nahuel Ferraresi
1705,Soner Aydoğdu
1706,Ömer Toprak
1707,Callum O'Dowda
1708,Peter Etebo
1709,Przemysław Wiśniewski
1710,Jimmy Giraudon
1711,Victor Lobry
1712,Lenny Pintor
1713,Kyle Duncan
1714,Brahima Ouattara
1715,Iñigo Vicente
1716,Jordi Mboula
1717,Mehdi Zerkane
1718,Fernandinho
1719,Check Oumar Diakité
1720,Terence Kongolo
1721,Gabriel
1722,Saido Berahino
1723,Marko Tolic
1724,Nemanja Miletic
1725,Roman Bezus
1726,Anastasios Chatzigiovanis
1727,Pedrinho
1728,Gökhan Akkan
1729,Ivan Ignatjev
1730,Sinan Bolat
1731,Dorgeles Nene
1732,Fábio Gomes
1733,Ryan Fredericks
1734,Rey Manaj
1735,Marlon Pack
1736,George Honeyman
1737,Naby Sarr
1738,Arthur Okonkwo
1739,Luis Binks
1740,Rubén Yáñez
1741,Ante Palaversa
1742,Andrea Favilli
1743,Clément Vidal
1744,Hianga'a Mbock
1745,Mark Diemers
1746,Davide Diaw
1747,Antonio Barreca
1748,Ignacio Malcorra
1749,Lautaro Blanco
1750,Himad Abdelli
1751,Tiago Gouveia
1752,Federico Fernández
1753,Peru Nolaskoain
1754,Gaspar Campos
1755,Brayan Angulo
1756,Mateus Sarará
1757,Leonardo Sernicola
1758,Óscar Vanegas
1759,Christian Ortíz
1760,Anderson Silva
1761,Ali Alipour
1762,Stanislav Kritsyuk
1763,Adrián Marín
1764,Cristo
1765,Cote
1766,Alonso Aceves
1767,Sergi Enrich
1768,Marcelo Flores
1769,Jonas Toró
1770,Fede San Emeterio
1771,Alan Dzagoev
1772,Vagner
1773,Federico Proia
1774,Jón Dagur Thorsteinsson
